ID_MUNICIPIO,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IHG,CG,PSM,PSG,CAND_IND,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS
39,ZIHUATANEJO DE AZUETA,609,21589,11170,2032,1024,1541,157,10952,469,0,135,2075,41,53,,51847,31,3404,55282
40,JUAN R. ESCUDERO,1509,1491,2122,300,73,1506,424,3706,332,180,28,13,5,0,206,11895,0,615,12510
41,LEONARDO BRAVO,0,4703,3012,81,534,0,165,1357,49,19,0,0,0,0,,9920,0,792,10712
42,MALINALTEPEC,214,1027,1610,34,2444,1460,0,2965,929,0,211,227,0,252,,11373,2,734,12109
43,MARTIR DE CUILAPAN,118,1662,2115,50,1333,1869,38,838,18,58,31,16,0,106,,8252,2,728,8982
44,METLATONOC,90,1136,1232,38,1544,730,0,2670,269,0,0,683,0,0,,8392,1,317,8710
45,MOCHITLAN,141,195,369,3302,44,537,26,668,272,15,0,0,0,33,,5602,1,567,6170
46,OLINALA,33,7317,694,49,2993,27,17,1581,13,5,3,37,0,34,,12803,5,523,13331
47,OMETEPEC,272,11046,1974,346,7275,143,223,3392,151,1559,39,17,299,47,1881,28664,2,2247,30913
48,PEDRO ASCENCIO ALQUISIRAS,0,937,0,50,34,1810,0,115,11,8,0,0,0,0,,2965,0,170,3135
49,PETATLAN,228,5615,5942,211,118,286,59,4286,252,0,15,13,0,142,,17167,5,971,18143
50,PILCAYA,2188,851,199,305,906,106,1980,166,4,164,0,0,0,0,,6869,2,224,7095
51,PUNGARABATO,576,6653,3622,462,314,131,69,4559,182,0,0,201,0,0,,16769,3,865,17637
52,QUECHULTENANGO,403,1122,9686,109,151,224,78,775,0,25,0,0,0,559,,13132,23,1025,14180
53,SAN LUIS ACATLAN,101,4445,744,1353,2353,3254,185,2870,107,1191,68,206,64,78,,17019,6,1665,18690
54,SAN MARCOS,721,2535,10471,6269,156,694,72,1623,199,469,0,14,81,65,,23369,0,1848,25217
55,SAN MIGUEL TOTOLAPAN,374,112,6223,347,51,110,0,1643,34,0,0,0,0,0,,8894,0,337,9231
56,TAXCO DE ALARCON,12163,10724,2122,1500,1247,1461,5950,7506,481,2580,997,1190,344,75,,48340,12,2146,50498
57,TECOANAPA,3973,524,2711,5434,117,795,193,5574,448,465,8,24,40,33,,20339,1,843,21183
58,TECPAN DE GALEANA,773,9448,9115,0,165,567,189,6463,751,0,24,49,93,108,,27745,2,1204,28951
59,TELOLOAPAN,246,1296,9268,173,464,8763,78,1365,113,22,60,0,0,31,,21879,2,1714,23595
60,TEPECOACUILCO DE TRUJANO,4652,5184,339,241,99,2386,488,1520,0,301,95,18,23,0,,15346,0,721,16067
61,TETIPAC,1958,2202,219,1813,23,155,35,443,26,13,13,0,0,0,,6900,0,285,7186
62,TIXTLA DE GUERRERO,279,5476,5898,313,188,254,65,4934,624,67,100,98,257,27,,18580,2,1012,19594
63,TLACOACHISTLAHUACA,916,81,2232,1094,1457,304,563,299,26,2641,0,0,0,41,,9654,1,771,10426
64,TLACOAPA,14,1696,1476,29,352,0,0,994,17,0,0,0,0,0,,4578,1,243,4822
65,TLALCHAPA,251,125,4564,414,15,407,0,577,10,1,0,0,0,0,,6364,0,158,6522
66,TLALIXTAQUILLA DE MALDONADO,27,1479,429,6,874,12,6,358,0,2,0,0,0,75,,3268,0,125,3393
67,TLAPA DE COMONFORT,369,9089,2810,659,8154,383,85,11678,0,528,245,306,82,672,,35060,24,1798,36882
68,TLAPEHUALA,139,2610,6135,195,232,45,18,1502,108,3,0,0,0,0,,10987,0,392,11379
69,LA UNION DE ISIDORO MONTES DE OCA,53,2087,8106,3672,42,33,31,680,17,8,0,0,0,0,,14729,1104,3,15836
70,XALPATLAHUAC,24,2588,383,117,1564,74,843,386,0,2,1,4,0,0,,5986,0,520,6506
71,XOCHIHUEHUETLAN,437,1228,66,167,1607,14,0,339,7,0,0,0,0,0,,3865,0,148,4013
72,XOCHISTLAHUACA,51,4979,84,174,2970,94,0,7231,199,0,0,0,36,19,,15837,1,407,16245
73,ZAPOTITLAN TABLAS,10,1186,147,774,1680,44,0,267,20,297,0,10,0,773,,5208,0,352,5560
74,ZIRANDARO,37,2157,582,35,34,93,158,5793,41,13,0,0,0,0,,8943,0,225,9168
75,ZITLALA,644,2180,1314,148,109,4526,492,459,0,16,9,14,0,10,,9921,2,734,10657
76,ACATEPEC,5823,49,7902,1123,0,0,0,830,39,0,0,0,0,0,,15766,0,724,16490
77,JOSE JOAQUIN DE HERRERA,26,2694,876,59,80,0,0,1099,239,23,5,90,0,2305,,7496,1,477,7974
78,ILIATENCO,26,16,220,921,52,1484,0,238,17,26,1398,0,53,0,394,4845,6,236,5087
79,COCHOAPA EL GRANDE,21,2606,2974,105,1705,21,0,164,11,4,0,3,6,6,,7626,0,505,8131
80,MARQUELIA,218,501,527,1379,2075,94,19,533,21,14,158,426,0,69,,6034,201,323,6558
81,JUCHITAN,792,218,87,1701,198,48,374,222,209,9,1,0,0,3,,3862,1,210,4073
